date,close,volume
2024-11-14,22.39,207900
2024-11-15,23.56,289900
2024-11-18,24.43,183200
2024-11-19,25.34,98600
2024-11-20,24.01,140300
2024-11-21,24.18,67900
2024-11-22,24.26,116900
2024-11-25,24.12,85800
2024-11-26,24.57,168100
2024-11-27,24.81,44300
2024-11-29,24.45,50100
2024-12-02,24.05,104000
2024-12-03,25.27,141300
2024-12-04,25.04,82800
2024-12-05,24.39,116600
2024-12-06,24.61,34600
2024-12-09,23.79,111700
2024-12-10,23.9,40700
2024-12-11,24.4,26100
2024-12-12,24.19,34700
2024-12-13,24.45,64000
2024-12-16,24.44,32000
2024-12-17,23.95,31600
2024-12-18,23.53,85900
2024-12-19,22.9,77200
2024-12-20,22.89,83900
2024-12-23,22.91,72100
2024-12-24,22.94,28900
2024-12-26,23.19,37600
2024-12-27,23.69,89800
2024-12-30,23.3,40200
2024-12-31,24.8,85100
2025-01-02,24.76,80000
2025-01-03,24.01,86300
2025-01-06,23.22,165800
2025-01-07,23.1,57000
2025-01-08,23.0,46400
2025-01-10,22.45,63000
2025-01-13,22.17,66500
2025-01-14,22.41,59500
2025-01-15,22.7,58800
2025-01-16,22.39,84100
2025-01-17,22.45,53300
2025-01-21,22.94,50100
2025-01-22,23.12,25400
2025-01-23,23.2,45100
2025-01-24,23.36,35300
2025-01-27,23.15,37800
2025-01-28,23.07,18400
2025-01-29,23.29,33800
2025-01-30,23.56,21600
2025-01-31,23.04,58500
2025-02-03,22.94,48000
2025-02-04,22.82,59000
2025-02-05,22.58,23400
2025-02-06,22.3,33900
2025-02-07,21.86,33400
2025-02-10,21.34,51300
2025-02-11,21.49,67000
2025-02-12,21.61,35100
2025-02-13,21.98,36100
2025-02-14,22.47,34700
2025-02-18,23.27,49900
2025-02-19,22.22,21700
2025-02-20,22.29,37000
2025-02-21,22.21,21600
2025-02-24,21.17,41300
2025-02-25,21.07,52300
2025-02-26,21.03,18800
2025-02-27,21.03,38200
2025-02-28,21.15,15500
2025-03-03,20.85,42200
2025-03-04,21.02,31800
2025-03-05,21.16,15900
2025-03-06,20.91,26000
2025-03-07,21.2,33800
2025-03-10,20.4,32400
2025-03-11,20.51,53900
2025-03-12,20.6,33200
2025-03-13,20.42,41300
2025-03-14,20.06,58900
2025-03-17,23.06,166700
2025-03-18,22.95,117000
2025-03-19,22.61,63900
2025-03-20,23.69,223200
2025-03-21,23.85,92800
2025-03-24,23.97,35100
2025-03-25,24.5,128900
2025-03-26,24.65,33500
2025-03-27,24.57,46800
2025-03-28,24.53,27000
2025-03-31,24.45,60300
2025-04-01,24.69,40500
2025-04-02,24.84,29100
2025-04-03,24.73,62400
2025-04-04,23.98,90500
2025-04-07,23.84,91200
2025-04-08,22.92,49500
2025-04-09,23.42,46100
2025-04-10,23.39,43200
2025-04-11,23.22,39700
2025-04-14,23.6,40900
2025-04-15,23.97,52400
2025-04-16,23.89,24800
2025-04-17,23.72,56400
2025-04-21,23.07,33400
2025-04-22,23.5,21700
2025-04-23,23.4,19600
2025-04-24,23.49,12600
2025-04-25,23.2,33000
2025-04-28,23.21,26400
2025-04-29,23.75,33500
2025-04-30,23.68,30600
2025-05-01,23.71,79900
2025-05-02,23.56,28600
2025-05-05,23.35,23600
2025-05-06,23.27,15900
2025-05-07,24.16,37500
2025-05-08,24.03,37200
2025-05-09,24.15,30200
2025-05-12,24.41,143100
2025-05-13,22.42,167600
2025-05-14,22.17,72100
2025-05-15,22.64,41900
2025-05-16,22.42,22800
2025-05-19,22.04,78900
2025-05-20,22.44,41100
2025-05-21,22.3,36200
2025-05-22,22.3,30900
2025-05-23,22.4,13400
2025-05-27,22.07,27700
2025-05-28,21.92,26500
2025-05-29,22.15,35500
2025-05-30,22.6,24300
2025-06-02,23.85,136100
2025-06-03,23.45,54200
2025-06-04,23.73,36000
2025-06-05,24.56,63500
2025-06-06,24.92,50100
2025-06-09,24.8,69400
2025-06-10,25.0,44800
2025-06-11,24.91,49300
2025-06-12,25.14,31500
2025-06-13,24.92,17400
2025-06-16,25.08,30500
2025-06-17,24.7,38500
2025-06-18,24.63,36700
2025-06-20,24.52,39900
2025-06-23,24.4,37800
2025-06-24,24.48,16700
2025-06-25,24.08,39600
2025-06-26,24.56,30000
2025-06-27,24.71,159800
2025-06-30,24.65,42500
2025-07-01,24.91,49800
2025-07-02,25.95,68700
2025-07-03,25.54,48400
2025-07-07,24.94,77300
2025-07-08,24.87,19200
2025-07-09,24.87,22400
2025-07-10,25.1,38600
2025-07-11,25.07,53100
2025-07-14,24.76,15500
2025-07-15,24.41,38400
2025-07-16,24.44,18400
2025-07-17,25.05,23700
2025-07-18,25.01,21200
2025-07-21,24.67,15300
2025-07-22,24.96,20600
2025-07-23,26.22,50800
2025-07-24,25.92,71000
2025-07-25,26.47,80100
2025-07-28,25.69,20700
2025-07-29,25.65,13100
2025-07-30,24.79,39400
2025-07-31,25.22,44400
2025-08-01,26.88,236000
2025-08-04,27.58,133300
2025-08-05,27.06,62800
2025-08-06,27.66,56600
2025-08-07,27.44,60800
2025-08-08,27.75,24400
2025-08-11,27.62,60000
2025-08-12,29.5,284900
2025-08-13,30.19,142800
2025-08-14,29.99,42600
2025-08-15,29.8,47800
2025-08-18,30.51,39200
2025-08-19,30.59,43800
2025-08-20,30.59,35600
2025-08-21,30.92,63200
2025-08-22,31.73,78400
2025-08-25,30.36,61200
2025-08-26,30.95,58000
2025-08-27,30.41,59800
2025-08-28,30.92,90700
2025-08-29,30.47,37500
2025-09-02,29.77,82000
2025-09-03,30.83,69300
2025-09-04,30.9,82100
2025-09-05,31.12,95600
2025-09-08,31.26,56600
2025-09-09,32.51,106800
2025-09-10,32.28,84400
2025-09-11,32.77,50500
2025-09-12,33.42,111900
2025-09-15,33.72,99300
2025-09-16,33.5,60400
2025-09-17,33.82,103500
2025-09-18,26.91,1066500
2025-09-19,26.36,598400
2025-09-22,26.59,242400
2025-09-23,26.49,222600
2025-09-24,26.72,185800
2025-09-25,26.31,95500
2025-09-26,26.94,80300
2025-09-29,27.03,73200
2025-09-30,27.76,124500
2025-10-01,26.41,494100
2025-10-02,25.65,151400
2025-10-03,25.45,71800
2025-10-06,25.79,147800
2025-10-07,26.43,310900
2025-10-08,26.72,106100
2025-10-09,26.58,45400
2025-10-10,25.98,136900
2025-10-13,26.44,220200
2025-10-14,27.19,116600
2025-10-15,27.59,107500
2025-10-16,27.26,147500
2025-10-17,27.29,43000
2025-10-20,27.14,60300
2025-10-21,26.9,41600
2025-10-22,26.93,32800
2025-10-23,26.74,56800
2025-10-24,26.3,41700
2025-10-27,25.77,48300
2025-10-28,25.33,27800
2025-10-29,24.16,123500
2025-10-30,24.23,73100
2025-10-31,23.99,54200
2025-11-03,24.13,60600
2025-11-04,24.17,31500
2025-11-05,25.29,167500
2025-11-06,24.53,122900
2025-11-07,24.4,52300
2025-11-10,23.69,97800
2025-11-11,23.33,124900
2025-11-12,22.75,206200
2025-11-13,21.91,174400
2025-11-14,22.27,114600
2025-11-17,21.7,86300
2025-11-18,21.75,106400
2025-11-19,22.19,90100
2025-11-20,21.49,134400
2025-11-21,22.5,240700
2025-11-24,23.07,173800
2025-11-25,24.12,97800
2025-11-26,24.44,92100
2025-11-28,24.79,32000
2025-12-01,24.66,67200
2025-12-02,24.4,62700
2025-12-03,24.25,37900
2025-12-04,24.08,76500
2025-12-05,23.92,36300
2025-12-08,23.46,66300
2025-12-09,23.43,81200
2025-12-10,23.18,115400
2025-12-11,22.96,79100
2025-12-12,23.12,44100
2025-12-15,23.26,36500
2025-12-16,23.78,42500
2025-12-17,24.14,89000
2025-12-18,23.91,63000
2025-12-19,23.63,84800
2025-12-22,24.27,53200
2025-12-23,23.89,109900
2025-12-24,24.0,13300
2025-12-26,23.75,45200
2025-12-29,23.56,29000
2025-12-30,23.89,146500
2025-12-31,24.23,102500
2026-01-02,22.8,67400
2026-01-05,22.73,72000
2026-01-06,22.09,57100
2026-01-07,22.06,44300
2026-01-08,22.68,51900
2026-01-09,22.78,89200
2026-01-12,22.8,78400
2026-01-13,22.58,51500
2026-01-14,22.08,65100
2026-01-15,22.14,76100
2026-01-16,21.85,49400
2026-01-20,22.24,52200
2026-01-21,22.31,60400
2026-01-22,22.25,43500
2026-01-23,22.0,51000
2026-01-26,22.08,47600
2026-01-27,22.02,34800
2026-01-28,21.65,45800
2026-01-29,21.83,35300
2026-01-30,22.03,58000
2026-02-02,22.27,71000
2026-02-03,21.67,95400
2026-02-04,21.59,43100
2026-02-05,21.51,61500
2026-02-06,21.46,34200
2026-02-09,21.71,34700
2026-02-10,22.05,37600
2026-02-11,21.5,22700
2026-02-12,21.87,39200
2026-02-13,21.98,44800
2026-02-17,21.78,24200
2026-02-18,22.04,32700
2026-02-19,21.89,33400
2026-02-20,21.98,17500
2026-02-23,21.7,46000
2026-02-24,21.79,30200
2026-02-25,22.56,38100
2026-02-26,22.29,22200
2026-02-27,22.16,55300
2026-03-02,22.05,53300
2026-03-03,21.75,35700
2026-03-04,21.69,41400
2026-03-05,21.36,35300
2026-03-06,21.25,40400
2026-03-09,21.25,29000
2026-03-10,21.48,33200
2026-03-11,21.14,37500
2026-03-12,20.95,18600
2026-03-13,20.91,27900
2026-03-16,20.71,54000
2026-03-17,19.22,108000
2026-03-18,18.49,103600
2026-03-19,17.83,63100
2026-03-20,17.8,74500
2026-03-23,18.7,124900
2026-03-24,18.06,38800
2026-03-25,18.78,82700
2026-03-26,18.55,68100
2026-03-27,18.3,31300
2026-03-30,18.37,65500
2026-03-31,19.34,56400
2026-04-01,22.72,312000
2026-04-02,22.02,115900
2026-04-06,22.75,95500
2026-04-07,22.77,92000
2026-04-08,23.0,65800
2026-04-09,23.51,38500
2026-04-10,23.77,50800
2026-04-13,24.4,56200
2026-04-14,24.79,82400
2026-04-15,24.58,112700
2026-04-16,25.31,58900
2026-04-17,25.66,58000
2026-04-20,26.7,80400
2026-04-21,26.36,129200
2026-04-22,26.34,54300
2026-04-23,26.47,48700
2026-04-24,27.66,69900
2026-04-27,27.77,47600
2026-04-28,27.47,62600
2026-04-29,26.93,47300
2026-04-30,26.84,26800
2026-05-01,27.1,60700
2026-05-04,26.88,40400
2026-05-05,26.65,26600
2026-05-06,26.65,28200
2026-05-07,25.64,36400
2026-05-08,25.6,43100
2026-05-11,24.95,44500
2026-05-12,25.36,40900
2026-05-13,27.25,94200
2026-05-14,26.0,932400
2026-05-15,24.21,641900
2026-05-18,23.8,287800
2026-05-19,25.2,303900
2026-05-20,25.53,193900
2026-05-21,25.11,105300
2026-05-22,25.17,88200
2026-05-26,24.23,63300
2026-05-27,24.11,62400
2026-05-28,24.02,60000
2026-05-29,23.83,164300
2026-06-01,23.43,78900
2026-06-02,22.59,149200
2026-06-03,23.04,176600
2026-06-04,23.27,115532
